"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"208",208,0,"F1_","F1_208",0.161103905919497,"F3_195",1,285241.834,4426021.7648,TRUE
"209",209,0,"F1_","F1_209",0.225141482099148,"F3_180",1,285249.906,4426021.6722,TRUE
"210",210,0,"F1_","F1_210",0.179438957625791,"F3_196",1,285244.7742,4426021.3458,TRUE
"211",211,0,"F1_","F1_211",1.91045074037325,"F3_421",0,285238.8193,4426021.3382,TRUE
"212",212,0,"F1_","F1_212",0.383958208789557,"F3_197",1,285243.189,4426021.1594,TRUE
"213",213,0,"F1_","F1_213",0.0669067255992958,"F3_199",1,285293.8198,4426020.3958,TRUE
"214",214,0,"F1_","F1_214",0.231379707456396,"F3_201",1,285292.6457,4426020.1064,TRUE
"215",215,0,"F1_","F1_215",0.234123874340411,"F3_203",1,285292.9857,4426018.6912,TRUE
"216",216,0,"F1_","F1_216",0.0855801462774077,"F3_207",1,285294.5849,4426016.193,TRUE
"217",217,0,"F1_","F1_217",0.111942208998632,"F3_209",1,285293.7691,4426015.7986,TRUE
"218",218,0,"F1_","F1_218",0.294584418780911,"F3_211",1,285293.4541,4426014.2925,TRUE
"219",219,0,"F1_","F1_219",0.211003811064429,"F3_814",1,285295.3867,4426014.2609,TRUE
"220",220,0,"F1_","F1_220",0.209784706599978,"F3_213",1,285297.1433,4426013.9045,TRUE
"221",221,0,"F1_","F1_221",0.26243286142127,"F3_215",1,285298.9464,4426013.5585,TRUE
"222",222,0,"F1_","F1_222",0.146454463482704,"F3_217",1,285293.5099,4426013.0454,TRUE
"223",223,0,"F1_","F1_223",0.25408479060024,"F3_218",1,285297.9881,4426012.6604,TRUE
"224",224,0,"F1_","F1_224",0.992687209166422,"F3_215",0,285299.3479,4426012.435,TRUE
"225",225,0,"F1_","F1_225",0.0365872506502997,"F3_220",1,285295.7889,4426012.5323,TRUE
"226",226,0,"F1_","F1_226",0.234505399679416,"F3_221",1,285296.2576,4426011.6301,TRUE
"227",227,0,"F1_","F1_227",0.178558114633781,"F3_223",1,285293.8555,4426011.652,TRUE
"228",228,0,"F1_","F1_228",0.0954025601796698,"F3_809",1,285297.4435,4426011.5365,TRUE
"229",229,0,"F1_","F1_229",0.0941599833391275,"F3_224",1,285298.9524,4426011.3495,TRUE
"230",230,0,"F1_","F1_230",0.190053803597013,"F3_810",1,285295.3283,4426011.1085,TRUE
"231",231,0,"F1_","F1_231",0.208057524048809,"F3_225",1,285299.8525,4426011.0495,TRUE
"232",232,0,"F1_","F1_232",0.0896066014704873,"F3_227",1,285292.9186,4426010.8923,TRUE
"233",233,0,"F1_","F1_233",0.12323383582674,"F3_229",1,285296.257,4426010.6501,TRUE
"234",234,0,"F1_","F1_234",0.357061625647974,"F3_228",1,285298.2945,4426010.7117,TRUE
"235",235,0,"F1_","F1_235",0.381399985871535,"F3_230",1,285300.9404,4426010.5104,TRUE
"236",236,0,"F1_","F1_236",0.252205340672546,"F3_232",1,285297.2275,4426010.2963,TRUE
"237",237,0,"F1_","F1_237",0.135175940971933,"F3_231",1,285294.08,4426010.2873,TRUE
"238",238,0,"F1_","F1_238",0.314096712696316,"F3_234",1,285300.1775,4426010.0679,TRUE
"239",239,0,"F1_","F1_239",0.113546774248631,"F3_523",1,285296.4166,4426009.1964,TRUE
"240",240,0,"F1_","F1_240",0.240401890159153,"F3_521",1,285293.2155,4426009.3479,TRUE
"241",241,0,"F1_","F1_241",0.27661137142614,"F3_525",1,285294.1855,4426009.1622,TRUE
"242",242,0,"F1_","F1_242",0.247012137553296,"F3_526",1,285298.0082,4426009.0865,TRUE
"243",243,0,"F1_","F1_243",0.473893782242514,"F3_524",0,285300.3937,4426009.1278,TRUE
"244",244,0,"F1_","F1_244",0.227565153725268,"F3_528",1,285295.4046,4426008.432,TRUE
"245",245,0,"F1_","F1_245",0.192348152406347,"F3_808",1,285293.8346,4426008.0165,TRUE
"246",246,0,"F1_","F1_246",0.181122303052136,"F3_530",1,285295.9108,4426007.7757,TRUE
"247",247,0,"F1_","F1_247",0.161758421615658,"F3_532",1,285297.8893,4426007.5737,TRUE
"248",248,0,"F1_","F1_248",0.25021427109131,"F3_534",1,285294.9103,4426007.4959,TRUE
"249",249,0,"F1_","F1_249",0.18367377574513,"F3_529",1,285301.5624,4426007.6495,TRUE
"250",250,0,"F1_","F1_250",0.0380067004117479,"F3_531",1,285297.0589,4426007.4558,TRUE
"251",251,0,"F1_","F1_251",0.267529775657615,"F3_535",1,285299.9792,4426007.1926,TRUE
"252",252,0,"F1_","F1_252",0.335106142595709,"F3_536",1,285301.6137,4426006.7229,TRUE
"253",253,0,"F1_","F1_253",0.31795292446253,"F3_200",1,285291.8293,4426020.5883,TRUE
"254",254,0,"F1_","F1_254",0.0821707082642198,"F3_235",1,285286.6701,4426020.5723,TRUE
"255",255,0,"F1_","F1_255",0.202741526355317,"F3_236",1,285281.8501,4426020.5568,TRUE
"256",256,0,"F1_","F1_256",0.229938777105263,"F3_239",1,285289.6386,4426020.2819,TRUE
"257",257,0,"F1_","F1_257",0.159399160162312,"F3_241",1,285284.6798,4426020.0782,TRUE
"258",258,0,"F1_","F1_258",0.107714730067673,"F3_240",1,285285.5811,4426019.9503,TRUE
"259",259,0,"F1_","F1_259",0.368051909481757,"F3_242",1,285282.2976,4426019.9408,TRUE
"260",260,0,"F1_","F1_260",0.195837427230344,"F3_202",1,285291.7777,4426019.6694,TRUE
"261",261,0,"F1_","F1_261",0.121642532952364,"F3_244",1,285283.7363,4426019.4905,TRUE
"262",262,0,"F1_","F1_262",0.0788366871912896,"F3_246",1,285281.7439,4426019.2017,TRUE
"263",263,0,"F1_","F1_263",0.0254612234463805,"F3_245",1,285280.4252,4426019.1744,TRUE
"264",264,0,"F1_","F1_264",0.103808302988155,"F3_243",1,285289.1801,4426019.2461,TRUE
"265",265,0,"F1_","F1_265",0.28571103892575,"F3_249",1,285285.4919,4426018.617,TRUE
"266",266,0,"F1_","F1_266",0.207519448229726,"F3_247",1,285282.5859,4426018.582,TRUE
"267",267,0,"F1_","F1_267",0.122620187770221,"F3_204",1,285292.054,4426018.3168,TRUE
"268",268,0,"F1_","F1_268",0.437538210556715,"F3_254",1,285281.5914,4426018.1439,TRUE
